text,parent_key
P09601,SMP00346
P53004,SMP00346
O75310,SMP00346
P08236,SMP00346
O15270,SMP00349
O15269,SMP00349
Q06136,SMP00349
Q9NRA0,SMP00349
Q8IWX5,SMP00349
O14494,SMP00349
O95470,SMP00349
Q6QHC5,SMP00349
Q8TDN7,SMP00349
Q8TCT0,SMP00349
Q86VZ5,SMP00349
Q6UWV6,SMP00349
Q16880,SMP00349
P54803,SMP00349
P04062,SMP00349
Q16739,SMP00349
P16278,SMP00349
Q9UBX8,SMP00349
Q99999,SMP00349
P15289,SMP00349
P06280,SMP00349
Q9UQ49,SMP00349
Q9NUN7,SMP00349
P49588,SMP00350
P24298,SMP00350
P11498,SMP00350
P21549,SMP00350
Q5JTZ9,SMP00350
P00966,SMP00360
P04424,SMP00360
P31327,SMP00360
P00367,SMP00360
P04181,SMP00360
P30038,SMP00360
O43272,SMP00360
Q96C36,SMP00360
P07814,SMP00360
Q7Z4N8,SMP00360
Q5T160,SMP00360
P50440,SMP00360
Q14353,SMP00360
P12277,SMP00360
P05089,SMP00360
P00480,SMP00360
Q9Y619,SMP00360
P14920,SMP00360
P17174,SMP00360
P29475,SMP00360
P00966,SMP00362
P04424,SMP00362
P31327,SMP00362
P00367,SMP00362
P04181,SMP00362
P30038,SMP00362
O43272,SMP00362
Q96C36,SMP00362
P07814,SMP00362
Q7Z4N8,SMP00362
Q5T160,SMP00362
P50440,SMP00362
Q14353,SMP00362
P12277,SMP00362
P05089,SMP00362
P00480,SMP00362
Q9Y619,SMP00362
P14920,SMP00362
P17174,SMP00362
P29475,SMP00362
P17174,SMP00369
Q96RQ9,SMP00369
P17735,SMP00369
P00439,SMP00369
P54577,SMP00369
Q9Y285,SMP00369
Q9NSD9,SMP00369
P32754,SMP00369
Q93099,SMP00369
O43708,SMP00369
P16930,SMP00369
P17174,SMP00370
Q96RQ9,SMP00370
P17735,SMP00370
P00439,SMP00370
P54577,SMP00370
Q9Y285,SMP00370
Q9NSD9,SMP00370
P32754,SMP00370
Q93099,SMP00370
O43708,SMP00370
P16930,SMP00370
P05186,SMP00503
Q9NVS9,SMP00503
Q06278,SMP00503
O00764,SMP00503
Q96GD0,SMP00503
P00966,SMP00504
P04424,SMP00504
P31327,SMP00504
P00367,SMP00504
P04181,SMP00504
P30038,SMP00504
O43272,SMP00504
Q96C36,SMP00504
P07814,SMP00504
Q7Z4N8,SMP00504
Q5T160,SMP00504
P50440,SMP00504
Q14353,SMP00504
P12277,SMP00504
P05089,SMP00504
P00480,SMP00504
Q9Y619,SMP00504
P14920,SMP00504
P17174,SMP00504
P29475,SMP00504
P00966,SMP00505
P04424,SMP00505
P31327,SMP00505
P00367,SMP00505
P04181,SMP00505
P30038,SMP00505
O43272,SMP00505
Q96C36,SMP00505
P07814,SMP00505
Q7Z4N8,SMP00505
Q5T160,SMP00505
P50440,SMP00505
Q14353,SMP00505
P12277,SMP00505
P05089,SMP00505
P00480,SMP00505
Q9Y619,SMP00505
P14920,SMP00505
P17174,SMP00505
P29475,SMP00505
P00966,SMP00506
P04424,SMP00506
P31327,SMP00506
P00367,SMP00506
P04181,SMP00506
P30038,SMP00506
O43272,SMP00506
Q96C36,SMP00506
P07814,SMP00506
Q7Z4N8,SMP00506
Q5T160,SMP00506
P50440,SMP00506
Q14353,SMP00506
P12277,SMP00506
P05089,SMP00506
P00480,SMP00506
Q9Y619,SMP00506
P14920,SMP00506
P17174,SMP00506
P29475,SMP00506
P00966,SMP00507
P04424,SMP00507
P31327,SMP00507
P00367,SMP00507
P04181,SMP00507
P30038,SMP00507
O43272,SMP00507
Q96C36,SMP00507
P07814,SMP00507
Q7Z4N8,SMP00507
Q5T160,SMP00507
P50440,SMP00507
Q14353,SMP00507
P12277,SMP00507
P05089,SMP00507
P00480,SMP00507
Q9Y619,SMP00507
P14920,SMP00507
P17174,SMP00507
P29475,SMP00507
P52789,SMP00557
P06744,SMP00557
P35557,SMP00557
P14410,SMP00557
P36871,SMP00557
Q6PCE3,SMP00557
Q16851,SMP00557
P54840,SMP00557
Q04446,SMP00557
O43451,SMP00557
P04745,SMP00557
P35573,SMP00557
O60701,SMP00557
P06737,SMP00557
O75310,SMP00557
P08236,SMP00557
A8YXX4,SMP00567
Q9UI32,SMP00567
Q06210,SMP00567
Q96EK6,SMP00567
Q9UJ70,SMP00567
P27708,SMP00567
P31327,SMP00567
Q06203,SMP00567
P49915,SMP00567
Q6IA69,SMP00567
P30038,SMP00567
P24298,SMP00567
P00367,SMP00567
P00505,SMP00567
Q5JPH6,SMP00567
P48506,SMP00567
P48507,SMP00567
P48637,SMP00567
P00390,SMP00567
Q99259,SMP00567
P80404,SMP00567
P51649,SMP00567
P47897,SMP00567
P21397,SMP00721
P05091,SMP00721
O75600,SMP00721
Q9UI17,SMP00721
Q9UL12,SMP00721
P23378,SMP00721
P48728,SMP00721
P34897,SMP00721
P09622,SMP00721
P21549,SMP00721
P50440,SMP00721
Q14353,SMP00721
P13196,SMP00721
Q93088,SMP00721
Q14749,SMP00721
Q8IVS8,SMP00721
O43175,SMP00721
Q9Y617,SMP00721
P78330,SMP00721
P20132,SMP00721
P49591,SMP00721
P34896,SMP00721
P41250,SMP00721
Q9GZT4,SMP00721
P35520,SMP00721
P32929,SMP00721
P48506,SMP00722
P48507,SMP00722
Q16878,SMP00722
P17174,SMP00722
P32929,SMP00722
P25325,SMP00722
Q6ZMR3,SMP00722
O60931,SMP00722
P49589,SMP00722
P00509,SMP00837
P08660,SMP00837
P0A9Q9,SMP00837
P00562,SMP00837
P00561,SMP00837
P00547,SMP00837
P00934,SMP00837
B1XGT1,SMP00837
P0C0K3,SMP00837
P07913,SMP00837
P0AB77,SMP00837
Unknown,SMP02363
P40012,SMP02363
Unknown,SMP02378
P38703,SMP02378
P28496,SMP02378
P38992,SMP02378
Q9MA74,SMP12047
Q9M9H6,SMP12047
Q9FR44,SMP12047
Z0Z000,SMP12047
Q9STS1,SMP12047
Q9FZ62,SMP12047
Q42521,SMP12467
Q9ZU50,SMP12467
Q94CE5,SMP12467
Q9SAK4,SMP12467
Z0Z000,SMP12467
Q9LSV0,SMP12467
Q8S4Y1,SMP12467
P54873,SMP12467
O81027,SMP12467
A0A1I9LST4,SMP12467
P0A9H5,SMP01898
P0AE76,SMP01898
P36562,SMP01898
P36561,SMP01898
P52086,SMP01898
Q8X714,SMP01898
P02929,SMP01898
P0ABU7,SMP01898
P0ABV2,SMP01898
P06611,SMP01898
B1XG18,SMP01898
P37028,SMP01898
P49419,SMP00123
Q93088,SMP00123
Q99707,SMP00123
P23526,SMP00123
Q8NE62,SMP00123
Q9UBM1,SMP00123
P31153,SMP00123
Q9NZL9,SMP00123
P34896,SMP00177
P42898,SMP00177
Q99707,SMP00177
P32929,SMP00177
P35520,SMP00177
Q93088,SMP00177
P26358,SMP00177
P17707,SMP00177
P19623,SMP00177
Q13126,SMP00177
P23526,SMP00177
Q96RQ9,SMP00177
P56192,SMP00177
Q96DP5,SMP00177
P31153,SMP00177
Q9NZL9,SMP00177
Q8NE62,SMP00177
Q8IXL7,SMP00177
Q9Y3D2,SMP00177
P50583,SMP00365
O75414,SMP00365
O75356,SMP00365
Q5MY95,SMP00365
Q16774,SMP00365
P49902,SMP00365
Q16854,SMP00365
P07741,SMP00365
P00491,SMP00365
P00492,SMP00365
Q9Y2T3,SMP00365
Q9UKK9,SMP00365
P21108,SMP00365
Q06203,SMP00365
P22102,SMP00365
O15067,SMP00365
P22234,SMP00365
P30566,SMP00365
P31939,SMP00365
Q9BY32,SMP00365
P49915,SMP00365
P20839,SMP00365
P36959,SMP00365
P47989,SMP00365
P30520,SMP00365
P23109,SMP00365
P00813,SMP00365
P00568,SMP00365
Q8NBU5,SMP00365
Q08499,SMP00365
Q96PN6,SMP00365
P33402,SMP00365
Q02153,SMP00365
Q9Y233,SMP00365
P10599,SMP00365
P23921,SMP00365
P31350,SMP00365
P00492,SMP00427
P20839,SMP00427
P49915,SMP00427
P51580,SMP00427
P63000,SMP00427
Q06278,SMP00427
Q06203,SMP00427
Q14542,SMP00427
Q9HAS3,SMP00427
Q99808,SMP00427
O43868,SMP00427
O15440,SMP00427
O15439,SMP00427
P47989,SMP00427
P55263,SMP00427
P50583,SMP00427
O75414,SMP00427
O75356,SMP00427
Q5MY95,SMP00427
Q16774,SMP00427
P49902,SMP00427
Q16854,SMP00427
P07741,SMP00427
P00491,SMP00427
Q9Y2T3,SMP00427
Q9UKK9,SMP00427
P21108,SMP00427
P22102,SMP00427
O15067,SMP00427
P22234,SMP00427
P30566,SMP00427
P31939,SMP00427
Q9BY32,SMP00427
P36959,SMP00427
P30520,SMP00427
P23109,SMP00427
P00813,SMP00427
P00568,SMP00427
Q8NBU5,SMP00427
Q08499,SMP00427
Q96PN6,SMP00427
P33402,SMP00427
Q02153,SMP00427
Q9Y233,SMP00427
P10599,SMP00427
P23921,SMP00427
P31350,SMP00427
P50583,SMP00513
O75414,SMP00513
O75356,SMP00513
Q5MY95,SMP00513
Q16774,SMP00513
P49902,SMP00513
Q16854,SMP00513
P07741,SMP00513
P00491,SMP00513
P00492,SMP00513
Q9Y2T3,SMP00513
Q9UKK9,SMP00513
P21108,SMP00513
Q06203,SMP00513
P22102,SMP00513
O15067,SMP00513
P22234,SMP00513
P30566,SMP00513
P31939,SMP00513
Q9BY32,SMP00513
P49915,SMP00513
P20839,SMP00513
P36959,SMP00513
P47989,SMP00513
P30520,SMP00513
P23109,SMP00513
P00813,SMP00513
P00568,SMP00513
Q8NBU5,SMP00513
Q08499,SMP00513
Q96PN6,SMP00513
P33402,SMP00513
Q02153,SMP00513
Q9Y233,SMP00513
P10599,SMP00513
P23921,SMP00513
P31350,SMP00513
P21397,SMP00721
P05091,SMP00721
O75600,SMP00721
Q9UI17,SMP00721
Q9UL12,SMP00721
P23378,SMP00721
P48728,SMP00721
P34897,SMP00721
P09622,SMP00721
P21549,SMP00721
P50440,SMP00721
Q14353,SMP00721
P13196,SMP00721
Q93088,SMP00721
Q14749,SMP00721
Q8IVS8,SMP00721
O43175,SMP00721
Q9Y617,SMP00721
P78330,SMP00721
P20132,SMP00721
P49591,SMP00721
P34896,SMP00721
P41250,SMP00721
Q9GZT4,SMP00721
P35520,SMP00721
P32929,SMP00721
P0A6T5,SMP00925
P0AFC0,SMP00925
P0AC16,SMP00925
P26281,SMP00925
P0AC13,SMP00925
P28305,SMP00925
P05041,SMP00925
P00903,SMP00925
P08192,SMP00925
P0ABQ4,SMP00925
P0AFS3,SMP00925
Unknown,SMP02369
P06785,SMP02369
P38009,SMP02369
P21264,SMP02369
P50431,SMP63637
Q9WU20,SMP63637
A6H5Y3,SMP63637
Q8VCN5,SMP63637
Q91WT9,SMP63637
Q91WS4,SMP63637
P13864,SMP63637
Q62270,SMP63637
Q9CQ65,SMP63637
P50247,SMP63637
Q8BW75,SMP63637
Q68FL6,SMP63637
Q9D799,SMP63637
Q3THS6,SMP63637
Q99LB6,SMP63637
Q8BJ64,SMP63637
Q9JLC3,SMP63637
Q8BU85,SMP63637
D3Z6H8,SMP63637
P34896,SMP00033
P42898,SMP00033
Q99707,SMP00033
P32929,SMP00033
P35520,SMP00033
Q93088,SMP00033
P26358,SMP00033
P17707,SMP00033
P19623,SMP00033
Q13126,SMP00033
P23526,SMP00033
Q96RQ9,SMP00033
P56192,SMP00033
Q96DP5,SMP00033
P31153,SMP00033
Q9NZL9,SMP00033
Q8NE62,SMP00033
Q8IXL7,SMP00033
Q9Y3D2,SMP00033
P50583,SMP00050
O75414,SMP00050
O75356,SMP00050
Q5MY95,SMP00050
Q16774,SMP00050
P49902,SMP00050
Q16854,SMP00050
P07741,SMP00050
P00491,SMP00050
P00492,SMP00050
Q9Y2T3,SMP00050
Q9UKK9,SMP00050
P21108,SMP00050
Q06203,SMP00050
P22102,SMP00050
O15067,SMP00050
P22234,SMP00050
P30566,SMP00050
P31939,SMP00050
Q9BY32,SMP00050
P49915,SMP00050
P20839,SMP00050
P36959,SMP00050
P47989,SMP00050
P30520,SMP00050
P23109,SMP00050
P00813,SMP00050
P00568,SMP00050
Q8NBU5,SMP00050
Q08499,SMP00050
Q96PN6,SMP00050
P33402,SMP00050
Q02153,SMP00050
Q9Y233,SMP00050
P10599,SMP00050
P23921,SMP00050
P31350,SMP00050
P50583,SMP00144
O75414,SMP00144
O75356,SMP00144
Q5MY95,SMP00144
Q16774,SMP00144
P49902,SMP00144
Q16854,SMP00144
P07741,SMP00144
P00491,SMP00144
P00492,SMP00144
Q9Y2T3,SMP00144
Q9UKK9,SMP00144
P21108,SMP00144
Q06203,SMP00144
P22102,SMP00144
O15067,SMP00144
P22234,SMP00144
P30566,SMP00144
P31939,SMP00144
Q9BY32,SMP00144
P49915,SMP00144
P20839,SMP00144
P36959,SMP00144
P47989,SMP00144
P30520,SMP00144
P23109,SMP00144
P00813,SMP00144
P00568,SMP00144
Q8NBU5,SMP00144
Q08499,SMP00144
Q96PN6,SMP00144
P33402,SMP00144
Q02153,SMP00144
Q9Y233,SMP00144
P10599,SMP00144
P23921,SMP00144
P31350,SMP00144
P50583,SMP00220
O75414,SMP00220
O75356,SMP00220
Q5MY95,SMP00220
Q16774,SMP00220
P49902,SMP00220
Q16854,SMP00220
P07741,SMP00220
P00491,SMP00220
P00492,SMP00220
Q9Y2T3,SMP00220
Q9UKK9,SMP00220
P21108,SMP00220
Q06203,SMP00220
P22102,SMP00220
O15067,SMP00220
P22234,SMP00220
P30566,SMP00220
P31939,SMP00220
Q9BY32,SMP00220
P49915,SMP00220
P20839,SMP00220
P36959,SMP00220
P47989,SMP00220
P30520,SMP00220
P23109,SMP00220
P00813,SMP00220
P00568,SMP00220
Q8NBU5,SMP00220
Q08499,SMP00220
Q96PN6,SMP00220
P33402,SMP00220
Q02153,SMP00220
Q9Y233,SMP00220
P10599,SMP00220
P23921,SMP00220
P31350,SMP00220
P34896,SMP00221
P42898,SMP00221
Q99707,SMP00221
P32929,SMP00221
P35520,SMP00221
Q93088,SMP00221
P26358,SMP00221
P17707,SMP00221
P19623,SMP00221
Q13126,SMP00221
P23526,SMP00221
Q96RQ9,SMP00221
P56192,SMP00221
Q96DP5,SMP00221
P31153,SMP00221
Q9NZL9,SMP00221
Q8NE62,SMP00221
Q8IXL7,SMP00221
Q9Y3D2,SMP00221
P34896,SMP00341
P42898,SMP00341
Q99707,SMP00341
P32929,SMP00341
P35520,SMP00341
Q93088,SMP00341
P26358,SMP00341
P17707,SMP00341
P19623,SMP00341
Q13126,SMP00341
P23526,SMP00341
Q96RQ9,SMP00341
P56192,SMP00341
Q96DP5,SMP00341
P31153,SMP00341
Q9NZL9,SMP00341
Q8NE62,SMP00341
Q8IXL7,SMP00341
Q9Y3D2,SMP00341
P00374,SMP00432
Q05932,SMP00432
P11586,SMP00432
O75891,SMP00432
O95954,SMP00432
P49914,SMP00432
P42898,SMP00432
Q92820,SMP00432
Q6UB35,SMP00432
P13995,SMP00432
Q96DP5,SMP00432
Q96NT5,SMP00432
B1XGT1,SMP00828
P0AGE5,SMP00828
P0AAD6,SMP00828
P0A825,SMP00828
P0AF12,SMP02092
P45578,SMP02092
P13009,SMP02092
P0A817,SMP02092
P40459,SMP02364
Unknown,SMP02364
Q03941,SMP02364
P39522,SMP02364
P38122,SMP02364
P38787,SMP02364
P40506,SMP02364
Q96KN2,SMP00044
A5YM72,SMP00044
O60678,SMP00044
P19113,SMP00044
P50135,SMP00044
P21397,SMP00044
P30838,SMP00044
P05091,SMP00044
P42357,SMP00044
Q96N76,SMP00044
Q96NU7,SMP00044
O95954,SMP00044
P49590,SMP00044
P12081,SMP00044
P19801,SMP00044
Q8N4J0,SMP00044
Q96KP4,SMP00044
P00374,SMP00053
P11586,SMP00053
O75891,SMP00053
O95954,SMP00053
P49914,SMP00053
P42898,SMP00053
Q05932,SMP00053
Q92820,SMP00053
Q6UB35,SMP00053
P13995,SMP00053
Q96DP5,SMP00053
